-214193,-214174.61455324
-61387,-61383.00369678
25469,25495.80654398
49217,49238.50056637
171307,171318.43494824
210155,210180.69009031
253427,253442.85563555
369740,369763.73905276
400085,400091.57126664
434355,434376.57199131
452605,452627.18657202
470160,470167.57372410
473837,473858.84880459
507850,507878.66389345
524156,524179.24479278
544676,544702.75236117
567118,567146.51239052
569477,569479.20254523
601716,601727.03344093
613424,613449.76206532
626596,626620.36971599
645554,645579.07669134
664224,664242.88668371
671401,671418.97051052
694799,694807.56336115
704424,704433.49117744
708842,708863.59699655
709409,709424.40492600
709580,709602.08268338
727274,727291.20939231
728714,728737.44767496
744313,744329.57317982
764652,764676.19131746
